name
ACELGA
AHUYAMA
AJO ROSADO
ALCACHOFA
APIO
ARVEJA VERDE
BERENJENA
BROCOLI
CALABACIN
CALABAZA
CEBOLLA CABEZONA BLANCA
CEBOLLA CABEZONA ROJA
CEBOLLA LARGA
CILANTRO
COLIFLOR
ESPINACA
FRIJOL VERDE ANDINO
FRIJOL VERDE BOLO
HABA VERDE SABANERA
HABICHUELA
LECHUGA
MAZORCA
PEPINO COHOMBRO
PEPINO COMUN
PIMENTON
RABANO ROJO
REMOLACHA
REPOLLO
TOMATE CHONTO
TOMATE LARGA VIDA
ZANAHORIA
AGUACATE
AGUACATE HASS
BANANO CRIOLLO
BANANO URABA
BREVA
COCO
CURUBA BOYACENCE
CURUBA SAN BERNARDO
DURAZNO IMPORTADO
FEIJOA
FRESA
GRANADILLA
GUANABANA
GUAYABA
LIMON COMUN
LIMON TAHITI
LULO
MANDARINA ARRAYANA
MANDARINA ONECO
MANGO CHANCLETO
MANGO DE AZUCAR
MANGO REINA
MANGO TOMMY
MANZANA NACIONAL
MANZANA ROJA IMPORTADA
MANZANA VERDE IMPORTADA
MARACUYA
MELON
MORA DE CASTILLA
NARANJA ARMENIA
NARANJA GREY
NARANJA OMBLIGONA
NARANJA VALENCIA
PAPAYA HAWIANA
PAPAYA MARADOL
PAPAYA MELONA
PAPAYA REDONDA
PAPAYA TAINUNG
PATILLA
PINA GOLD
PINA PEROLERA
PITAHAYA
TOMATE DE ARBOL
UVA CHAMPA
UVA NEGRA
UVA ROJA
PAPA CRIOLLA LAVADA
PAPA CRIOLLA SUCIA
PAPA PASTUSA
PAPA R12 INDUSTRIAL
PAPA R12 NEGRA
PAPA R12 ROJA
PAPA SABANERA
PAPA SUPREMA
PAPA TOCARRE
YUCA ARMENIA
YUCA LLANERA
PLATANO COLICERO
PLATANO HARTON
PLATANO HARTON
